Heart Attack, 0.25, 0.4, 0.2, 0.1, 0.05  
Stroke, 0.2, 0.35, 0.25, 0.1, 0.1  
Pneumonia, 0.15, 0.3, 0.3, 0.15, 0.1  
Sepsis, 0.3, 0.35, 0.2, 0.1, 0.05  
Appendicitis, 0.1, 0.35, 0.3, 0.15, 0.1  
Fracture, 0.1, 0.25, 0.3, 0.2, 0.15  
Diabetic Ketoacidosis, 0.15, 0.3, 0.25, 0.2, 0.1  
Asthma Attack, 0.1, 0.25, 0.3, 0.2, 0.15  
Migraine, 0.05, 0.1, 0.15, 0.3, 0.4  
Food Poisoning, 0.05, 0.15, 0.3, 0.3, 0.2  
Urinary Tract Infection, 0.05, 0.15, 0.2, 0.35, 0.25  
Gastroenteritis, 0.05, 0.15, 0.3, 0.3, 0.2  
Common Cold, 0.02, 0.05, 0.1, 0.4, 0.43  
COVID-19 Severe, 0.3, 0.35, 0.2, 0.1, 0.05  
COVID-19 Mild, 0.05, 0.1, 0.15, 0.3, 0.4  
Anemia, 0.1, 0.2, 0.25, 0.3, 0.15  
Hypertension Crisis, 0.3, 0.35, 0.2, 0.1, 0.05  
Epileptic Seizure, 0.25, 0.35, 0.25, 0.1, 0.05  
Pancreatitis, 0.2, 0.35, 0.25, 0.1, 0.1  
Kidney Stones, 0.1, 0.2, 0.3, 0.3, 0.1  
Liver Cirrhosis, 0.15, 0.3, 0.3, 0.15, 0.1  
Cancer Pain, 0.1, 0.3, 0.25, 0.2, 0.15  
Burns Severe, 0.3, 0.35, 0.2, 0.1, 0.05  
Burns Minor, 0.05, 0.1, 0.2, 0.3, 0.35  
Snake Bite, 0.25, 0.35, 0.25, 0.1, 0.05  
Dog Bite, 0.05, 0.15, 0.2, 0.35, 0.25  
Allergic Reaction Severe, 0.3, 0.35, 0.2, 0.1, 0.05  
Allergic Reaction Mild, 0.02, 0.1, 0.2, 0.3, 0.38  
Heat Stroke, 0.2, 0.3, 0.25, 0.15, 0.1  
Hypothermia Severe, 0.25, 0.35, 0.2, 0.1, 0.1  
Hypothermia Mild, 0.05, 0.1, 0.2, 0.3, 0.35  
Chest Pain, 0.2, 0.3, 0.25, 0.15, 0.1  
Dizziness, 0.05, 0.1, 0.15, 0.3, 0.4  
Vertigo, 0.05, 0.1, 0.15, 0.3, 0.4  
Abdominal Pain Severe, 0.25, 0.35, 0.2, 0.1, 0.1  
Abdominal Pain Mild, 0.02, 0.1, 0.2, 0.3, 0.38  
Chronic Back Pain, 0.02, 0.1, 0.2, 0.3, 0.38  
Sciatica, 0.1, 0.2, 0.25, 0.3, 0.15  
Sprain, 0.01, 0.05, 0.15, 0.35, 0.44  
Eye Infection, 0.01, 0.05, 0.15, 0.35, 0.44  
Ear Infection, 0.02, 0.1, 0.2, 0.3, 0.38  
Sinus Infection, 0.01, 0.05, 0.15, 0.35, 0.44  
Dental Pain, 0.01, 0.05, 0.15, 0.35, 0.44  
Tooth Abscess, 0.1, 0.2, 0.25, 0.3, 0.15  
Gallstones, 0.1, 0.25, 0.3, 0.2, 0.15  
Hernia Pain, 0.1, 0.25, 0.3, 0.2, 0.15  
Shingles, 0.1, 0.2, 0.25, 0.3, 0.15  
Chickenpox, 0.02, 0.05, 0.15, 0.35, 0.43  
Measles, 0.1, 0.3, 0.25, 0.2, 0.15  
Mumps, 0.02, 0.05, 0.15, 0.35, 0.43  
Tuberculosis, 0.2, 0.3, 0.25, 0.15, 0.1  
Malaria, 0.1, 0.25, 0.3, 0.2, 0.15  
Dengue Fever, 0.15, 0.3, 0.25, 0.2, 0.1  
Typhoid, 0.15, 0.3, 0.25, 0.2, 0.1  
HIV/AIDS Complication, 0.3, 0.35, 0.2, 0.1, 0.05  
Alzheimer's Agitation, 0.15, 0.25, 0.3, 0.2, 0.1  
Parkinson's Crisis, 0.15, 0.3, 0.25, 0.2, 0.1  
Multiple Sclerosis Flare, 0.15, 0.3, 0.25, 0.2, 0.1  
Brain Tumor Symptoms, 0.3, 0.35, 0.2, 0.1, 0.05  
Seizure Uncontrolled, 0.25, 0.35, 0.2, 0.1, 0.1  
